sce,annualcost(bn),capex,inv_gen,inv_stor,inv_grid,opexfix,fix_gen,fix_stor,fix_grid,opexvar,var_gen,var_stor,var_startup,var_co2,var_exchange,nuc(GW),CCGT_new(GW),OCGT_new(GW),pv_large(GW),pv_small(GW),onshore(GW),offshore(GW),ires(GW),hydro_ror(GW),hydro_dam(GW),phs_power(GW),phs_energy(GWh),ptg_power(GW),battery1_power(GW),battery1_energy(GWh),battery4_power(GW),battery4_energy(GWh),battery8_power(GW),battery8_energy(GWh),import(GW),export(GW),nucpro(TWh),pvlargepro(TWh),pvsmallpro(TWh),onshorepro(TWh),offshorepro(TWh),gasccgtpro(TWh),gasocgtpro(TWh),hydro_rorpro(TWh),hydro_dampro(TWh),phs_char(TWh),phs_disc(TWh),ptg_char(TWh),ptg_disc(TWh),battery1_char(TWh),battery1_disc(TWh),battery4_char(TWh),battery4_disc(TWh),battery8_char(TWh),battery8_disc(TWh),excess&loss(TWh),exchange(TWh),demand(TWh),nucper,resper,fossilper,emission(MT),totalemission(MT),averageshadowprice(euro/MWh)
1_uc,29.29,15.2,15.13,0.07,0.0,8.04,7.95,0.09,0.0,4.37,4.24,0.0,0.13,1.69,0.0,0.0,22.1,54.6,100.0,0.0,125.0,15.0,240.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,289.6,56.5,59.5,24.6,41.7,16.7,-19.7,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.1,0.0,491,-0.0,0.862,0.138,31.86,53.23,23.264267608510313
2_uc,27.33,15.57,14.72,0.85,0.0,7.72,7.59,0.12,0.0,2.92,2.85,0.01,0.06,1.13,0.0,0.0,19.2,45.0,100.0,0.0,125.0,15.0,240.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,289.6,56.5,47.1,11.5,41.7,16.7,-12.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.4,0.0,491,-0.0,0.899,0.101,21.38,53.23,24.479284643697717
1,30.87,19.24,19.17,0.07,0.0,9.21,9.12,0.09,0.0,1.73,1.73,0.0,0.0,0.69,0.0,0.0,10.5,60.3,100.0,0.0,125.0,55.0,280.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,289.6,207.2,17.0,15.2,41.7,16.7,-10.6,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-213.7,0.0,491,-0.0,0.954,0.046,13.03,24.44,16.0198660027739
2,30.53,19.51,18.77,0.74,0.0,8.9,8.77,0.12,0.0,1.52,1.51,0.01,0.0,0.6,0.0,0.0,8.2,50.3,100.0,0.0,125.0,55.0,280.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,289.6,207.2,13.2,14.5,41.7,16.7,-10.1,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-208.3,0.0,491,-0.0,0.961,0.039,11.41,24.44,15.301411488107924
1_uc,33.07,19.38,19.31,0.07,0.0,9.35,9.26,0.09,0.0,3.13,3.05,0.0,0.07,1.22,0.0,0.0,10.5,65.6,100.0,0.0,125.0,55.0,280.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,289.6,207.2,20.3,33.6,41.7,16.7,-21.5,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-233.3,0.0,491,-0.0,0.926,0.074,23.0,34.53,17.198013447128808
2_uc,30.87,19.65,18.91,0.74,0.0,9.03,8.91,0.12,0.0,1.57,1.53,0.01,0.04,0.61,0.0,0.0,8.2,55.6,100.0,0.0,125.0,55.0,280.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,289.6,207.2,13.2,14.7,41.7,16.7,-10.1,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-208.6,0.0,491,-0.0,0.96,0.04,11.53,34.53,15.611213728610716
1,33.06,5.24,5.24,0.0,0.0,4.53,4.46,0.07,0.0,16.88,16.88,0.0,0.0,6.41,0.0,10.0,59.4,12.0,0.0,0.0,0.0,0.0,0.0,11.8,8.8,4.6,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,0.0,0.0,0.0,0.0,355.8,2.3,41.7,16.7,-1.6,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491,0.152,0.119,0.729,120.87,241.7,41.102623077551904
2,33.01,5.27,5.15,0.12,0.0,4.46,4.38,0.09,0.0,16.87,16.87,0.0,0.0,6.4,0.0,10.0,59.6,8.3,0.0,0.0,0.0,0.0,0.0,11.8,8.8,4.6,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,0.0,0.0,0.0,0.0,356.1,2.0,41.7,16.7,-1.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491,0.152,0.119,0.729,120.82,241.7,41.10262307755131
1_uc,33.34,5.38,5.38,0.0,0.0,4.66,4.6,0.07,0.0,16.89,16.88,0.0,0.0,6.41,0.0,10.0,59.4,17.0,0.0,0.0,0.0,0.0,0.0,11.8,8.8,4.6,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0.0,0.0,0.0,0.0,355.7,2.5,41.7,16.7,-1.7,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491,0.152,0.119,0.729,120.91,241.75,41.323355248907184
2_uc,33.17,5.35,5.23,0.12,0.0,4.54,4.45,0.09,0.0,16.88,16.87,0.0,0.0,6.4,0.0,10.0,59.6,11.2,0.0,0.0,0.0,0.0,0.0,11.8,8.8,4.6,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0.0,0.0,0.0,0.0,356.1,2.0,41.7,16.7,-1.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491,0.152,0.119,0.729,120.84,241.75,41.17779485131747
1,28.82,9.18,9.11,0.07,0.0,5.66,5.57,0.09,0.0,10.21,10.21,0.0,0.0,3.76,0.0,10.0,39.5,26.7,0.0,0.0,0.0,40.0,40.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.3,0.0,0.0,0.0,150.7,202.1,6.1,41.7,16.7,-4.5,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,491,0.151,0.425,0.424,70.95,141.9,40.6740189740689
2,28.72,9.21,8.99,0.22,0.0,5.54,5.46,0.09,0.0,10.21,10.21,0.0,0.0,3.76,0.0,10.0,39.5,22.3,0.0,0.0,0.0,40.0,40.0,11.8,8.8,4.6,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.3,0.0,0.0,0.0,150.7,201.7,6.3,41.7,16.7,-2.9,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,491,0.151,0.425,0.423,70.94,141.9,40.74658654878241
1_uc,29.17,9.32,9.25,0.07,0.0,5.79,5.7,0.09,0.0,10.28,10.24,0.0,0.04,3.78,0.0,10.0,39.5,31.6,0.0,0.0,0.0,40.0,40.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.9,0.0,0.0,0.0,150.7,202.7,6.3,41.7,16.7,-5.5,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,491,0.15,0.425,0.425,71.23,142.23,40.111600684846735
2_uc,28.98,9.32,9.1,0.22,0.0,5.65,5.56,0.09,0.0,10.25,10.22,0.0,0.03,3.76,0.0,10.0,39.5,26.5,0.0,0.0,0.0,40.0,40.0,11.8,8.8,4.6,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.3,0.0,0.0,0.0,150.7,201.8,6.4,41.7,16.7,-3.1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,491,0.151,0.425,0.423,71.0,142.23,40.62219112296839
